Location,Area,BHK,Floor,Balconies,Property Age,Parking,Near Market,Main Road,Furnishing,Price
Vijay Nagar,2102,4,2,3,30,No,Yes,No,Semi-Furnished,227.64
Scheme No. 94,2965,3,1,2,19,No,No,No,Furnished,152.12
Gandhi Nagar,2259,3,4,2,9,No,No,No,Non-Furnished,104.99
Gandhi Nagar,3176,4,1,3,24,Yes,No,No,Furnished,141.66
Scheme No. 54,1151,2,4,3,38,No,No,No,Non-Furnished,116.89
Navlakha,3725,4,4,2,1,Yes,No,No,Semi-Furnished,220.65
Limbodi,2772,3,1,0,6,No,Yes,Yes,Non-Furnished,121.41
Rajendra Nagar,506,1,3,4,44,No,No,No,Furnished,16.79
Palasia,4311,4,4,2,5,Yes,Yes,Yes,Non-Furnished,328.7
Sudama Nagar,3075,4,2,3,15,No,No,No,Furnished,144.23
Ujjain Road,1658,3,4,1,16,No,No,No,Semi-Furnished,61.03
Rau-Pithampur Road,4221,4,3,4,17,No,Yes,Yes,Non-Furnished,160.92
Rau,1210,2,1,2,39,No,No,Yes,Non-Furnished,58.79
LIG Colony,1153,2,1,1,17,No,No,No,Furnished,64.35
Annapurna Road,1520,3,1,4,39,Yes,Yes,Yes,Non-Furnished,61.76
Pardesipura,1944,3,1,3,28,No,No,No,Non-Furnished,72.94
Mahalaxmi Nagar,4693,5,2,3,18,Yes,No,No,Furnished,421.6
Scheme No. 54,1513,3,0,2,36,No,Yes,No,Semi-Furnished,147.45
Sudama Nagar,3548,4,2,4,45,Yes,No,No,Semi-Furnished,117.45
Scheme No. 94,878,2,4,4,5,Yes,No,No,Semi-Furnished,52.07
Mhow Road,3817,4,4,2,31,No,No,No,Non-Furnished,129.49
AB Road,1604,3,1,3,32,Yes,Yes,Yes,Semi-Furnished,89.69
Mhow Road,3296,4,1,1,16,Yes,No,No,Non-Furnished,126.56
Nipania,2269,4,3,2,19,No,No,Yes,Non-Furnished,198.27
Palasia,3730,4,4,1,40,No,No,No,Non-Furnished,201.96
Scheme No. 94,4125,4,4,1,31,No,No,No,Semi-Furnished,184.57
Sudama Nagar,3735,4,3,3,37,No,Yes,Yes,Non-Furnished,133.31
Ring Road,4312,4,4,3,13,Yes,No,No,Furnished,248.75
Navlakha,2331,3,2,4,2,No,Yes,Yes,Furnished,146.03
Sudama Nagar,1136,2,4,1,37,No,No,No,Non-Furnished,39.67
Vaishali Nagar,1841,3,2,0,43,No,No,No,Semi-Furnished,92.45
Tilak Nagar,2887,3,3,0,1,No,Yes,Yes,Furnished,202.11
Ring Road,2567,3,4,2,26,No,Yes,Yes,Non-Furnished,125.99
Pardesipura,2185,3,3,2,19,Yes,Yes,Yes,Semi-Furnished,99.77
Lokmanya Nagar,2613,3,1,0,27,No,No,No,Furnished,117.26
Nipania,2091,3,2,3,6,Yes,No,No,Semi-Furnished,184.6
Scheme No. 94,2241,3,4,3,10,No,Yes,Yes,Semi-Furnished,125.76
Mahu Naka,2227,3,2,2,3,Yes,No,No,Furnished,127.1
Khandwa Road,3000,4,2,3,20,Yes,Yes,Yes,Non-Furnished,125.83
Lokmanya Nagar,2345,3,4,1,39,No,Yes,Yes,Non-Furnished,93.77
Annapurna Road,3689,4,2,3,13,No,No,No,Non-Furnished,182.78
Indore Bypass,2883,3,4,3,4,Yes,Yes,Yes,Furnished,178.93
Vijay Nagar,1665,3,4,3,18,Yes,Yes,Yes,Unfurnished,190.85
Scheme No. 54,4615,5,3,3,39,Yes,No,No,Furnished,544.09
Mhow Road,4227,4,3,1,22,Yes,No,No,Furnished,169.98
Mahu Naka,3373,4,3,0,27,No,No,No,Furnished,166.15
Scheme No. 140,2766,3,4,3,38,Yes,Yes,Yes,Semi-Furnished,142.73
Tilak Nagar,4704,4,3,1,32,Yes,No,No,Semi-Furnished,244.3
Mahu Naka,1081,2,1,4,27,No,No,No,Non-Furnished,48.28
Limbodi,4964,4,3,1,14,No,Yes,Yes,Semi-Furnished,216.9
Palasia,994,2,4,4,17,Yes,No,No,Semi-Furnished,72.44
Scheme No. 140,2244,3,1,4,7,No,No,No,Non-Furnished,133.59
Silicon City,3193,4,3,0,19,No,No,No,Furnished,112.23
Ujjain Road,1494,2,4,1,22,No,Yes,Yes,Furnished,55.51
CAT Road,743,1,3,1,28,No,Yes,Yes,Furnished,31.9
MR-10,3829,4,1,4,8,Yes,No,No,Furnished,249.57
Ujjain Road,4339,4,1,0,20,No,No,No,Non-Furnished,141.71
Saket Nagar,2198,3,1,2,29,Yes,No,No,Furnished,112.01
Vaishali Nagar,1770,3,4,0,31,Yes,Yes,Yes,Semi-Furnished,105.74
Pardesipura,1113,2,4,4,31,No,Yes,Yes,Furnished,46.54
Limbodi,3270,4,3,0,19,Yes,Yes,Yes,Semi-Furnished,137.6
Scheme No. 54,3802,5,0,2,18,Yes,No,Yes,Non-Furnished,438.36
Chandan Nagar,4772,4,2,3,42,No,Yes,Yes,Non-Furnished,132.25
Mahu Naka,4531,4,2,3,42,Yes,Yes,Yes,Non-Furnished,194.11
CAT Road,2290,3,3,4,27,No,No,No,Semi-Furnished,92.32
Bhawarkuan,1349,2,3,1,25,No,No,No,Non-Furnished,58.47
Vaishali Nagar,4333,4,1,2,26,No,Yes,Yes,Non-Furnished,245.21
Chandan Nagar,4430,4,2,3,27,No,Yes,Yes,Non-Furnished,147.11
Super Corridor,3472,4,1,2,18,Yes,No,No,Semi-Furnished,326.56
Saket Nagar,1125,2,4,4,9,No,Yes,Yes,Non-Furnished,65.23
MR-10,4873,4,1,2,9,Yes,Yes,Yes,Semi-Furnished,317.09
Bhawarkuan,3510,4,1,0,24,Yes,Yes,Yes,Semi-Furnished,166.58
Rau-Pithampur Road,1077,2,3,2,15,Yes,Yes,Yes,Semi-Furnished,44.42
Palasia,2318,3,4,2,21,Yes,No,No,Non-Furnished,151.68
Rau-Pithampur Road,1562,3,1,2,6,Yes,Yes,Yes,Furnished,71.5
Nipania,3254,4,3,0,24,No,No,Yes,Semi-Furnished,264.77
Pipliyahana,1183,2,2,4,4,No,No,No,Furnished,76.3
Scheme No. 140,4882,4,3,1,11,No,Yes,Yes,Non-Furnished,296.5
Limbodi,4191,4,1,0,13,No,Yes,Yes,Non-Furnished,173.05
Vaishali Nagar,4320,4,1,4,8,No,No,No,Semi-Furnished,282.99
Dhar Road,2730,3,4,4,30,No,No,No,Furnished,92.95
Mahalaxmi Nagar,4040,5,1,2,17,No,Yes,Yes,Furnished,369.81
Saket Nagar,3312,4,4,1,22,Yes,No,No,Non-Furnished,168.93
Khandwa Road,3266,4,4,0,26,Yes,Yes,Yes,Non-Furnished,132.11
Mahu Naka,2695,3,2,4,28,No,No,No,Non-Furnished,120.61
Silicon City,1715,3,4,0,5,No,Yes,Yes,Non-Furnished,66.17
CAT Road,4417,4,4,0,20,No,Yes,Yes,Non-Furnished,188.47
Nipania,2118,3,4,0,19,No,No,Yes,Non-Furnished,180.46
Indore Bypass,4288,4,2,3,19,No,Yes,Yes,Non-Furnished,214.98
Annapurna Road,3332,4,1,0,35,No,Yes,Yes,Furnished,150.02
Scheme No. 94,672,1,2,0,5,Yes,Yes,Yes,Non-Furnished,39.01
Vaishali Nagar,1073,2,4,0,45,Yes,No,No,Non-Furnished,52.94
Lokmanya Nagar,666,1,3,3,26,Yes,Yes,Yes,Non-Furnished,30.07
Vijay Nagar,2943,4,4,3,2,Yes,No,No,Furnished,304.71
Super Corridor,3967,5,0,0,2,Yes,Yes,No,Semi-Furnished,399.0
Indore Bypass,4775,4,4,2,14,Yes,Yes,Yes,Semi-Furnished,266.13
Pipliyahana,4763,4,3,4,32,No,Yes,Yes,Non-Furnished,237.94
Vaishali Nagar,4755,4,2,3,35,Yes,Yes,Yes,Semi-Furnished,267.14
Mahalaxmi Nagar,421,1,3,2,19,Yes,No,No,Semi-Furnished,34.04
Rajendra Nagar,1982,3,3,4,44,Yes,No,No,Furnished,66.54
Annapurna Road,1692,3,3,1,7,Yes,Yes,Yes,Semi-Furnished,97.82
Chandan Nagar,838,2,1,4,31,Yes,Yes,Yes,Non-Furnished,27.15
Annapurna Road,1561,3,4,0,41,No,Yes,Yes,Semi-Furnished,65.29
Navlakha,2516,3,1,0,37,No,Yes,Yes,Furnished,114.89
Nipania,1380,3,1,2,21,No,Yes,No,Semi-Furnished,108.56
Mhow Road,1213,2,1,2,2,Yes,Yes,Yes,Semi-Furnished,57.0
Scheme No. 54,2409,4,1,2,39,No,No,Yes,Semi-Furnished,254.74
Scheme No. 94,3605,4,2,3,21,No,No,No,Semi-Furnished,175.46
Mhow Road,3358,4,4,1,44,Yes,No,No,Furnished,109.18
Bhawarkuan,2806,3,4,1,9,No,Yes,Yes,Semi-Furnished,153.86
Vaishali Nagar,2835,3,4,4,39,Yes,No,No,Non-Furnished,144.51
Mahalaxmi Nagar,1203,2,4,0,4,No,No,Yes,Non-Furnished,94.64
Khandwa Road,4948,4,1,0,26,No,No,No,Semi-Furnished,196.66
Mahu Naka,2206,3,4,1,19,Yes,Yes,Yes,Furnished,121.36
Nipania,4108,5,1,4,22,No,Yes,Yes,Semi-Furnished,361.6
Annapurna Road,1701,3,1,0,36,No,No,No,Furnished,73.57
Gandhi Nagar,4710,4,1,1,43,No,Yes,Yes,Semi-Furnished,174.49
Scheme No. 140,1939,3,4,0,21,Yes,No,No,Furnished,117.74
Vaishali Nagar,997,2,1,3,22,No,Yes,Yes,Furnished,62.89
Khandwa Road,2425,3,1,1,19,No,No,No,Semi-Furnished,102.36
Scheme No. 54,1511,3,0,1,24,Yes,Yes,No,Non-Furnished,177.01
Lokmanya Nagar,908,2,2,0,9,Yes,Yes,Yes,Non-Furnished,45.28
Dhar Road,2780,3,2,0,35,Yes,No,No,Furnished,88.75
Pipliyahana,4296,4,1,2,41,No,No,No,Furnished,203.71
Lokmanya Nagar,676,1,4,0,11,Yes,No,No,Semi-Furnished,34.24
Scheme No. 140,2638,3,3,2,9,Yes,Yes,Yes,Semi-Furnished,172.4
AB Road,2959,3,2,0,3,No,Yes,Yes,Non-Furnished,199.29
Dhar Road,2772,3,3,3,45,No,No,No,Furnished,77.71
Bhawarkuan,1894,3,3,0,45,No,No,No,Semi-Furnished,70.08
Navlakha,4007,4,1,1,30,Yes,Yes,Yes,Furnished,197.66
Scheme No. 54,3574,5,1,0,22,Yes,No,No,Furnished,406.48
Rau-Pithampur Road,3308,4,1,2,38,No,Yes,Yes,Furnished,108.17
Rajendra Nagar,2712,3,2,1,26,No,Yes,Yes,Semi-Furnished,109.11
Super Corridor,2810,4,3,3,35,Yes,No,Yes,Non-Furnished,291.17
Rau-Pithampur Road,1874,3,2,0,6,No,No,No,Furnished,82.68
Silicon City,4636,4,1,4,35,No,Yes,Yes,Semi-Furnished,131.79
CAT Road,4909,4,3,0,42,Yes,Yes,Yes,Semi-Furnished,176.89
Vaishali Nagar,2455,3,3,1,2,Yes,Yes,Yes,Semi-Furnished,178.87
Dhar Road,4755,4,1,2,31,Yes,Yes,Yes,Furnished,162.14
Tilak Nagar,3219,4,2,1,17,No,Yes,Yes,Non-Furnished,184.34
LIG Colony,2349,3,4,3,20,No,No,No,Non-Furnished,121.77
Vaishali Nagar,578,1,1,2,8,No,Yes,Yes,Furnished,40.33
Mhow Road,1616,3,4,3,26,No,No,No,Semi-Furnished,60.1
Khandwa Road,574,1,2,0,42,Yes,Yes,Yes,Furnished,22.1
Super Corridor,1304,3,3,3,5,Yes,No,No,Furnished,150.85
Palasia,2449,3,1,1,7,No,Yes,Yes,Furnished,191.68
Navlakha,4523,4,3,2,8,No,Yes,Yes,Semi-Furnished,262.75
Indore Bypass,4148,4,3,2,5,Yes,No,No,Furnished,244.25
Bhawarkuan,502,1,4,4,24,No,No,No,Furnished,24.0
Limbodi,2802,3,4,4,23,Yes,Yes,Yes,Non-Furnished,109.01
MR-10,2262,3,4,4,36,Yes,No,No,Furnished,123.03
AB Road,4299,4,1,4,45,Yes,No,No,Non-Furnished,189.11
CAT Road,4586,4,1,0,4,No,No,No,Semi-Furnished,221.75
Scheme No. 54,2859,4,2,1,1,No,No,No,Non-Furnished,292.48
Silicon City,4282,4,4,3,7,No,Yes,Yes,Furnished,176.14
Rau,1284,2,3,0,14,No,No,No,Furnished,78.32
Mahu Naka,3481,4,2,1,3,No,Yes,Yes,Furnished,205.07
Limbodi,4933,4,4,1,7,No,No,No,Semi-Furnished,222.92
Khandwa Road,4679,4,1,2,26,Yes,No,No,Non-Furnished,177.44
Palasia,2270,3,3,4,21,Yes,No,No,Non-Furnished,147.05
Indore Bypass,1185,2,2,4,45,Yes,No,No,Non-Furnished,47.17
Navlakha,3476,4,3,0,11,Yes,Yes,Yes,Furnished,205.76
LIG Colony,3096,4,4,0,10,Yes,Yes,Yes,Non-Furnished,179.66
Bengali Square,2273,4,4,0,17,Yes,Yes,Yes,Furnished,243.74
Ring Road,1067,2,3,2,40,Yes,No,No,Furnished,49.45
Mhow Road,1155,2,2,3,22,Yes,No,No,Furnished,46.83
Sudama Nagar,2200,3,2,0,7,No,Yes,Yes,Non-Furnished,104.46
Scheme No. 54,3857,5,1,0,24,No,No,Yes,Non-Furnished,380.77
Pipliyahana,4227,4,3,1,22,Yes,No,No,Furnished,242.17
Lokmanya Nagar,2971,3,3,2,18,No,Yes,Yes,Non-Furnished,137.41
Scheme No. 94,3366,4,1,0,2,Yes,Yes,Yes,Furnished,207.32
Chandan Nagar,2998,3,1,1,17,Yes,No,No,Non-Furnished,106.78
Mahalaxmi Nagar,3158,4,2,3,9,Yes,No,Yes,Non-Furnished,281.07
MR-10,3356,4,1,4,43,No,No,No,Semi-Furnished,159.83
Bhawarkuan,4933,4,4,1,7,No,No,No,Semi-Furnished,263.15
CAT Road,1248,2,1,3,8,No,No,No,Semi-Furnished,58.48
Nipania,713,2,0,0,29,No,No,No,Non-Furnished,57.33
Palasia,503,1,3,3,29,Yes,Yes,Yes,Furnished,36.42
Dhar Road,4319,4,2,1,15,Yes,Yes,Yes,Non-Furnished,162.49
Limbodi,3825,4,4,3,22,Yes,Yes,Yes,Furnished,163.19
LIG Colony,2303,3,2,4,24,No,Yes,Yes,Semi-Furnished,126.06
Ring Road,1054,2,1,1,6,Yes,Yes,Yes,Semi-Furnished,64.01
Chandan Nagar,1656,3,4,4,34,Yes,Yes,Yes,Furnished,56.87
Ring Road,3936,4,3,0,44,No,Yes,Yes,Non-Furnished,162.06
Bengali Square,3422,4,4,3,29,No,Yes,Yes,Semi-Furnished,319.32
Mhow Road,1506,3,3,0,41,Yes,Yes,Yes,Non-Furnished,48.11
Vijay Nagar,1432,3,1,3,37,Yes,No,No,Semi-Furnished,160.44
Rau,1424,3,2,3,41,Yes,No,No,Non-Furnished,71.57
Tilak Nagar,1625,3,4,3,27,No,Yes,Yes,Semi-Furnished,90.93
Bengali Square,2258,4,2,4,12,Yes,Yes,No,Non-Furnished,198.57
Silicon City,2889,3,2,1,35,Yes,Yes,Yes,Furnished,86.37
Dhar Road,1964,3,2,3,34,Yes,Yes,Yes,Semi-Furnished,63.09
Indore Bypass,4492,4,2,1,35,Yes,No,No,Non-Furnished,192.01
Rajendra Nagar,4197,4,4,0,8,Yes,Yes,Yes,Non-Furnished,195.19
Scheme No. 54,2414,4,2,3,16,No,No,No,Non-Furnished,232.04
AB Road,1946,3,2,4,25,Yes,Yes,Yes,Furnished,120.86
MR-10,2627,3,4,0,43,No,No,No,Semi-Furnished,128.52
Dhar Road,837,2,3,1,2,No,No,No,Non-Furnished,34.47
Bhawarkuan,2251,3,4,0,42,Yes,No,No,Semi-Furnished,87.84
Dhar Road,1988,3,3,1,19,No,Yes,Yes,Furnished,77.85
MR-10,2473,3,3,4,34,No,No,No,Furnished,133.5
Super Corridor,4953,5,2,0,13,No,No,Yes,Semi-Furnished,418.35
Mahu Naka,1801,3,4,2,36,No,Yes,Yes,Non-Furnished,81.32
CAT Road,4410,4,2,2,9,No,Yes,Yes,Semi-Furnished,213.84
Rajendra Nagar,968,2,4,0,19,No,Yes,Yes,Furnished,43.83
LIG Colony,860,2,2,4,37,Yes,No,No,Non-Furnished,41.03
Rajendra Nagar,3806,4,3,0,12,No,No,No,Furnished,176.16
Scheme No. 140,1610,3,4,4,7,Yes,No,No,Non-Furnished,100.98
Indore Bypass,1182,2,1,4,33,No,No,No,Semi-Furnished,53.2
Scheme No. 140,3403,4,1,1,3,No,Yes,Yes,Semi-Furnished,225.21
Sudama Nagar,3522,4,2,2,41,No,No,No,Furnished,126.15
Silicon City,1938,3,4,0,28,No,Yes,Yes,Furnished,63.64
Ring Road,3412,4,1,0,5,Yes,Yes,Yes,Semi-Furnished,204.42
Gandhi Nagar,3012,4,3,4,3,Yes,Yes,Yes,Furnished,166.4
Scheme No. 94,1373,2,2,1,45,No,No,No,Non-Furnished,49.21
Dhar Road,4049,4,2,1,31,Yes,Yes,Yes,Semi-Furnished,134.0
Chandan Nagar,4312,4,4,3,13,Yes,No,No,Furnished,178.09
Tilak Nagar,4992,4,4,2,32,Yes,Yes,Yes,Non-Furnished,257.22
AB Road,3084,4,3,4,23,No,Yes,Yes,Furnished,192.93
Bhawarkuan,4759,4,3,4,16,Yes,Yes,Yes,Non-Furnished,235.22
Bhawarkuan,968,2,4,4,23,No,Yes,Yes,Semi-Furnished,47.1
Vijay Nagar,1310,3,4,2,25,No,Yes,No,Semi-Furnished,157.7
Mahalaxmi Nagar,1532,3,4,4,26,No,Yes,No,Furnished,130.53
Super Corridor,4533,5,0,0,14,No,Yes,Yes,Furnished,438.15
Gandhi Nagar,3106,4,4,3,20,Yes,Yes,Yes,Non-Furnished,138.95
Saket Nagar,1836,3,4,1,16,No,No,No,Semi-Furnished,102.34
Navlakha,1594,3,2,2,10,No,Yes,Yes,Furnished,93.78
Bhawarkuan,807,2,3,2,5,No,Yes,Yes,Furnished,46.88
Annapurna Road,2054,3,1,3,5,Yes,Yes,Yes,Furnished,122.43
Limbodi,776,1,2,1,7,No,Yes,Yes,Semi-Furnished,35.73
Lokmanya Nagar,4503,4,3,1,43,No,No,No,Furnished,181.26
Chandan Nagar,1200,2,3,2,27,No,No,No,Semi-Furnished,40.59
Rau,3012,4,3,3,30,No,Yes,Yes,Furnished,192.93
Pardesipura,4124,4,4,3,20,Yes,Yes,Yes,Furnished,193.7
Chandan Nagar,1503,3,3,0,26,Yes,Yes,Yes,Semi-Furnished,53.93
LIG Colony,4744,4,3,3,38,Yes,No,No,Semi-Furnished,230.24
CAT Road,2277,3,2,4,28,No,Yes,Yes,Semi-Furnished,93.54
Palasia,2585,3,4,4,11,No,No,No,Non-Furnished,179.42
Ring Road,4430,4,2,3,27,No,Yes,Yes,Non-Furnished,211.97
Limbodi,3510,4,1,0,24,Yes,Yes,Yes,Semi-Furnished,138.87
Navlakha,4401,4,2,2,19,Yes,No,No,Furnished,230.24
MR-10,1995,3,1,3,7,Yes,No,No,Semi-Furnished,128.26
Gandhi Nagar,4956,4,1,1,17,No,Yes,Yes,Furnished,241.02
Mahu Naka,2520,3,3,2,30,No,No,No,Furnished,121.73
Rau,4224,5,1,2,40,Yes,No,No,Non-Furnished,218.28
Ring Road,548,1,1,3,27,No,Yes,Yes,Non-Furnished,26.0
Ujjain Road,3093,4,4,4,6,No,Yes,Yes,Furnished,134.14
Limbodi,676,1,2,4,10,No,No,No,Semi-Furnished,29.36
Ujjain Road,2605,3,2,2,22,Yes,Yes,Yes,Furnished,96.2
Lokmanya Nagar,787,1,1,1,9,No,No,No,Non-Furnished,36.74
AB Road,3963,4,2,1,31,Yes,Yes,Yes,Semi-Furnished,222.51
Khandwa Road,1997,3,4,0,25,No,Yes,Yes,Semi-Furnished,84.99
Super Corridor,622,1,3,3,26,No,No,No,Semi-Furnished,62.88
Sudama Nagar,1806,3,4,2,34,Yes,No,No,Semi-Furnished,69.59
Navlakha,3002,4,2,0,40,Yes,Yes,Yes,Semi-Furnished,130.29
Khandwa Road,1212,2,3,3,42,Yes,No,No,Non-Furnished,40.74
CAT Road,2588,3,2,4,34,Yes,No,No,Furnished,101.58
Annapurna Road,1071,2,3,4,22,Yes,Yes,Yes,Non-Furnished,52.61
Saket Nagar,4575,4,3,1,7,Yes,No,No,Furnished,282.11
Ring Road,3681,4,4,3,22,Yes,No,No,Semi-Furnished,191.65
Palasia,4971,4,4,3,21,No,No,No,Furnished,346.43
Bengali Square,2401,4,1,2,27,Yes,Yes,No,Semi-Furnished,254.78
Rau-Pithampur Road,1724,3,3,1,10,Yes,Yes,Yes,Furnished,77.04
Mahalaxmi Nagar,2083,3,0,0,43,Yes,Yes,No,Non-Furnished,193.56
Ring Road,3489,4,2,3,13,Yes,Yes,Yes,Non-Furnished,188.94
Super Corridor,1425,3,0,1,6,No,Yes,No,Non-Furnished,153.81
Vaishali Nagar,3638,4,3,4,8,Yes,No,No,Non-Furnished,232.75
Gandhi Nagar,2198,3,3,0,33,Yes,Yes,Yes,Furnished,95.65
Super Corridor,635,1,4,1,17,Yes,Yes,Yes,Semi-Furnished,72.63
Ujjain Road,3094,4,4,3,28,No,Yes,Yes,Non-Furnished,98.78
Scheme No. 140,2697,3,1,0,8,No,Yes,Yes,Non-Furnished,164.47
Annapurna Road,2348,3,4,1,42,No,Yes,Yes,Semi-Furnished,97.15
Mhow Road,2894,3,3,1,8,No,No,No,Furnished,130.31
Rau-Pithampur Road,4129,4,2,2,43,Yes,No,No,Non-Furnished,114.52
Khajrana,3490,4,4,1,38,Yes,No,No,Semi-Furnished,108.67
Rau,4788,5,1,4,39,No,Yes,Yes,Non-Furnished,283.32
Chandan Nagar,3322,4,1,1,13,Yes,No,No,Semi-Furnished,128.84
Bhawarkuan,4083,4,2,0,30,Yes,Yes,Yes,Furnished,190.71
Khajrana,4887,4,4,0,35,No,No,No,Non-Furnished,149.0
Limbodi,3335,4,4,2,3,No,No,No,Furnished,161.55
Mahu Naka,3596,4,1,3,42,Yes,Yes,Yes,Semi-Furnished,159.67
LIG Colony,1271,2,1,1,14,Yes,No,No,Semi-Furnished,70.9
MR-10,4471,4,1,2,35,No,Yes,Yes,Non-Furnished,224.85
Dhar Road,2865,3,1,4,39,Yes,Yes,Yes,Semi-Furnished,85.67
Palasia,3826,4,2,2,8,Yes,No,No,Semi-Furnished,283.58
Rau-Pithampur Road,1503,3,3,0,26,Yes,Yes,Yes,Semi-Furnished,55.3
AB Road,3527,4,4,0,37,Yes,No,No,Non-Furnished,174.94
Pardesipura,1298,2,1,0,15,No,No,No,Semi-Furnished,57.74
MR-10,2432,3,2,3,2,No,Yes,Yes,Semi-Furnished,166.11
Pardesipura,3090,4,3,0,7,Yes,Yes,Yes,Furnished,162.39
Pardesipura,2641,3,4,4,23,No,Yes,Yes,Furnished,119.82
Indore Bypass,4373,4,3,2,10,Yes,Yes,Yes,Non-Furnished,237.32
Vaishali Nagar,3667,4,2,0,23,Yes,Yes,Yes,Semi-Furnished,227.3
Super Corridor,715,2,3,3,42,Yes,Yes,No,Non-Furnished,56.34
Indore Bypass,945,2,1,3,14,Yes,No,No,Non-Furnished,48.18
Pipliyahana,1995,3,1,1,5,Yes,No,No,Semi-Furnished,124.98
Ring Road,3066,4,1,0,43,No,Yes,Yes,Non-Furnished,125.37
Rajendra Nagar,2921,3,3,4,42,Yes,Yes,Yes,Non-Furnished,95.83
Lokmanya Nagar,3966,4,2,1,25,Yes,No,No,Furnished,182.64
Super Corridor,4569,5,3,3,44,No,Yes,Yes,Furnished,432.79
Saket Nagar,4698,4,3,2,41,Yes,No,No,Non-Furnished,198.42
Palasia,4680,4,4,4,28,Yes,No,No,Furnished,310.23
Bhawarkuan,2133,3,2,4,20,No,Yes,Yes,Furnished,108.6
Rau,2386,4,0,3,17,Yes,No,No,Non-Furnished,166.95
Nipania,3843,5,2,3,2,Yes,Yes,Yes,Non-Furnished,276.49
Silicon City,2345,3,2,3,18,No,Yes,Yes,Furnished,85.09
MR-10,1194,2,4,1,38,No,No,No,Furnished,62.85
Mahalaxmi Nagar,3593,5,2,3,39,No,Yes,No,Furnished,282.51
Khandwa Road,3217,4,4,3,14,Yes,No,No,Semi-Furnished,146.0
Scheme No. 54,2075,3,3,1,2,Yes,Yes,No,Semi-Furnished,251.65
Navlakha,4955,4,4,3,41,No,No,No,Semi-Furnished,203.14
Pardesipura,3012,4,3,4,3,Yes,Yes,Yes,Furnished,163.69
Rajendra Nagar,4820,4,1,0,15,No,No,No,Furnished,213.78
Mhow Road,3655,4,4,1,19,Yes,Yes,Yes,Non-Furnished,144.17
Saket Nagar,4331,4,4,0,7,Yes,Yes,Yes,Furnished,277.45
MR-10,1919,3,2,3,37,Yes,Yes,Yes,Furnished,105.67
Vijay Nagar,2560,4,1,4,23,Yes,Yes,Yes,Semi-Furnished,272.5
Lokmanya Nagar,792,1,3,2,31,Yes,No,No,Non-Furnished,33.16
Limbodi,1894,3,3,0,45,No,No,No,Semi-Furnished,58.33
Mahalaxmi Nagar,4691,5,3,4,35,Yes,No,Yes,Furnished,400.75
Rajendra Nagar,3544,4,4,3,11,No,Yes,Yes,Furnished,172.6
Nipania,3576,5,2,3,45,No,No,Yes,Non-Furnished,301.06
Gandhi Nagar,2178,3,2,2,6,No,No,No,Furnished,111.84
Silicon City,3282,4,3,4,35,Yes,Yes,Yes,Semi-Furnished,95.33
Pipliyahana,1511,3,3,1,25,Yes,Yes,Yes,Furnished,88.42
Mhow Road,4991,4,3,4,42,Yes,Yes,Yes,Non-Furnished,155.97
MR-10,1540,3,3,1,16,Yes,No,No,Semi-Furnished,95.1
Scheme No. 140,3707,4,4,2,25,No,No,No,Non-Furnished,196.95
Bhawarkuan,2777,3,2,0,29,No,No,No,Furnished,124.73
Scheme No. 54,2462,4,4,2,14,No,Yes,No,Furnished,293.91
Dhar Road,2077,3,3,2,36,Yes,Yes,Yes,Non-Furnished,62.93
Pipliyahana,2894,3,3,1,8,No,No,No,Furnished,182.94
MR-10,4793,4,1,4,25,Yes,No,No,Furnished,275.46
Mhow Road,1229,2,2,2,42,No,No,No,Furnished,40.07
Scheme No. 94,4909,4,4,1,18,Yes,No,No,Semi-Furnished,251.74
Scheme No. 54,2844,4,2,0,42,Yes,No,No,Semi-Furnished,270.84
Bhawarkuan,4300,4,4,0,36,Yes,Yes,Yes,Semi-Furnished,185.67
LIG Colony,2050,3,2,4,12,No,Yes,Yes,Semi-Furnished,119.86
Ujjain Road,4613,4,2,3,9,Yes,Yes,Yes,Semi-Furnished,185.9
Ring Road,4106,4,4,1,5,Yes,Yes,Yes,Furnished,259.48
Ujjain Road,849,2,2,1,39,Yes,Yes,Yes,Furnished,26.28
Vaishali Nagar,4340,4,1,1,33,Yes,Yes,Yes,Non-Furnished,234.12
Pipliyahana,3683,4,2,4,34,No,Yes,Yes,Semi-Furnished,188.29
Ujjain Road,4746,4,1,0,42,No,Yes,Yes,Non-Furnished,124.66
Super Corridor,3568,5,1,3,14,No,Yes,Yes,Non-Furnished,336.96
Nipania,4134,5,0,1,5,Yes,No,Yes,Semi-Furnished,376.17
Scheme No. 140,2695,3,1,3,41,Yes,Yes,Yes,Non-Furnished,125.91
Rau,3853,5,3,3,41,No,Yes,No,Semi-Furnished,224.69
Saket Nagar,1589,3,2,0,26,No,No,No,Furnished,82.66
CAT Road,3867,4,4,0,27,Yes,No,No,Furnished,164.14
Rau-Pithampur Road,1561,3,4,2,25,No,Yes,Yes,Semi-Furnished,57.58
Lokmanya Nagar,2767,3,2,2,31,Yes,No,No,Semi-Furnished,117.79
Scheme No. 54,2423,4,1,4,27,No,Yes,Yes,Furnished,294.37
Palasia,3295,4,2,2,39,No,Yes,Yes,Non-Furnished,183.49
Tilak Nagar,4149,4,4,2,17,Yes,No,No,Non-Furnished,235.7
Rajendra Nagar,2671,3,1,4,6,No,Yes,Yes,Non-Furnished,122.56
